istex_id	corpus	pub_year	author_1	title	src_query
4C17042A8E705CB6D8CD02734AB7A16FF8586A92	els	1968	Spiegelman	A benefit/cost model to evaluate educational programs	corpusName:elsevier AND publicationDate:[1960 TO 1979] AND qualityIndicators.pdfVersion:1.2
410E24AAEB52BC392FB9028C6B66244A411DFE1E	els	1978	UNKNOWN	A controlled trial of anterior spinal fusion and debridement in the surgical management of tuberculosis of the spine in patients on standard chemotherapy: A study in two centres in South Africa Seventh report of the medical research council working party on tuberculosis of the spine	corpusName:elsevier AND publicationDate:[1960 TO 1979] AND qualityIndicators.pdfVersion:1.2
42F56020F8257C7753647C88B3702E1259DE0963	els	1976	Cavalieri	Traveling planetary-scale waves in the E-region	corpusName:elsevier AND publicationDate:[1960 TO 1979] AND qualityIndicators.pdfVersion:1.2
44F38B296E79D8A2414D837F0EC9285420C1A5B7	els	1969	Denmead	Comparative micrometeorology of a wheat field and a forest of Pinus radiata	corpusName:elsevier AND publicationDate:[1960 TO 1979] AND qualityIndicators.pdfVersion:1.2
0BDEDDEA9CECCD7D4DD6BF1E839F4516F4B6CAA1	els	1964	Goulding	A new particle identifier technique for Z = 1 and Z = 2 particles in the energy range > 10 MeV	corpusName:elsevier AND publicationDate:[1960 TO 1979] AND qualityIndicators.pdfVersion:1.2
C601CE511AA0450D75A0AC1A0F4B7F1019E27FF6	els	1979	Parnham	Enhancement by prostaglandin E1 and essential fatty acid deficiency of the passive transfer of delayed hypersensitivity to PPD in rats. Comparison with effects on delayed hypersensitivity to SRBC in mice	corpusName:elsevier AND publicationDate:[1960 TO 1979] AND qualityIndicators.pdfVersion:1.2
078D5BF1431786BE34CFC63E699356D3D4FBB655	els	1975	Nevins	Poly(A) sequences of vaccinia virus messenger RNA: Nature, mode of addition and function during translation in vitro and in vivo	corpusName:elsevier AND publicationDate:[1960 TO 1979] AND qualityIndicators.pdfVersion:1.3
3F7F78F68A0FD15EAA78F0685DDB904189D3D4E0	els	1967	Feuer	Metabolic fate of 32P-labelled emulsifier YN in rats	corpusName:elsevier AND publicationDate:[1960 TO 1979] AND qualityIndicators.pdfVersion:1.3
8CAA046A51E33649E52B76450DF87DC2B8B2D60F	els	1966	Ph.D.	Antiserum and antibiotic in the prophylaxis of burns against pseudomonas aeruginosa	corpusName:elsevier AND publicationDate:[1960 TO 1979] AND qualityIndicators.pdfVersion:1.3
D07C075949B2D3DC5860C0A281C024B836FB6C5D	els	1966	Sabel	Using aids for the disabled, particularly in the home	corpusName:elsevier AND publicationDate:[1960 TO 1979] AND qualityIndicators.pdfVersion:1.4
E747029CB3A04EA3A504FDE1568F2AD5E6565A76	els	1978	Sorg	Evidence that Ia-Antigens Are not Secreted by Antigen or Mitogen Stimulated Mouse or Guinea Pig Lymphocytes	corpusName:elsevier AND publicationDate:[1960 TO 1979] AND qualityIndicators.pdfVersion:1.7
24FA8DE67886321EED67D7EF91B3EABEA8BFC111	els	1980	MD	Peak systolic blood pressure/end-systolic volume ratio: Assessment at rest and during exercise in normal subjects and patients with coronary heart disease	corpusName:elsevier AND publicationDate:[1980 TO 1989] AND qualityIndicators.pdfVersion:1.2
DCB30A79F7B2E756543F4C9D701BA9BF1009AA42	els	1984	Fuglsang-Frederiksen	Integrated electrical activity and number of zero crossings during a gradual increase in muscle force in patients with neuromuscular diseases	corpusName:elsevier AND publicationDate:[1980 TO 1989] AND qualityIndicators.pdfVersion:1.2
F377E05B1BFA8273B68BA2BED30B01EFF77DE4BA	els	1987	Ikegami	Absorption studies of Photosystem I photochemistry in the absence of vitamin K-1	corpusName:elsevier AND publicationDate:[1980 TO 1989] AND qualityIndicators.pdfVersion:1.2
8FC7F2EDD05423FAE400725318162CE4924F40B6	els	1986	Parnham	Pharmacological analysis of guinea-pig macrophage chemiluminescence responses to platelet activating factor and opsonized zymosan	corpusName:elsevier AND publicationDate:[1980 TO 1989] AND qualityIndicators.pdfVersion:1.2
38C6DCB3BF5BCE686A22CB05410A5C3D569565EE	els	1985	Kazlauskas	Cultured endothelial cells do not respond to a platelet-derived growth-factor-like protein in an autocrine manner	corpusName:elsevier AND publicationDate:[1980 TO 1989] AND qualityIndicators.pdfVersion:1.2
3E0DA236FB1CC3643B3B66EA281C82360CF589A9	els	1982	Colledge	Economic cycles and health	corpusName:elsevier AND publicationDate:[1980 TO 1989] AND qualityIndicators.pdfVersion:1.2
ED5B0633AB2CF163BA57B0BFE87FF844EC11BDB3	els	1983	Carleton	Afferent and efferent connections of the medial, inferior and lateral vestibular nuclei in the cat and monkey	corpusName:elsevier AND publicationDate:[1980 TO 1989] AND qualityIndicators.pdfVersion:1.3
DC9E871D880D4E7EE1543D9CF4054E3D31DBC913	els	1987	Stewart	Alterations in synaptic structure in the paleostriatal complex of the domestic chick,Gallus domesticus, following passive avoidance training	corpusName:elsevier AND publicationDate:[1980 TO 1989] AND qualityIndicators.pdfVersion:1.3
DC4779AFAD62396CB4B26A87249AA62A8CD8A97C	els	1985	Brandt	Identification of two populations of cardiac microsomes with nitrendipine receptors: Correlation of the distribution of dihydropyridine receptors with organelle specific markers	corpusName:elsevier AND publicationDate:[1980 TO 1989] AND qualityIndicators.pdfVersion:1.3
6973F481B400AC924ACB57773ECA631A44893757	els	1988	Snyder	The role of membrane protein sulfhydryl groups in hydrogen peroxide-mediated membrane damage in human erythrocytes	corpusName:elsevier AND publicationDate:[1980 TO 1989] AND qualityIndicators.pdfVersion:1.4
BECF891F23D25767E12C5E5667689A962DA10BE0	els	1983	Stojadinović	Failure physics of integrated circuits — A review	corpusName:elsevier AND publicationDate:[1980 TO 1989] AND qualityIndicators.pdfVersion:1.4
0AC9802CBF0E3D07012AE113D98890E13C43F9C0	els	1980	Sethi	The Nature of Host-Cell Herpes-Simplex Virus Interaction(s) that Renders Cells Susceptible to Virus-Specific Cytotoxic T Cells	corpusName:elsevier AND publicationDate:[1980 TO 1989] AND qualityIndicators.pdfVersion:1.7
F9476D36E48B938B683855EFC193E399DD0C8129	els	1995	Mikhlin	Matching of local expansions in the theory of non-linear vibrations	corpusName:elsevier AND publicationDate:[1990 TO 1999] AND qualityIndicators.pdfVersion:1.0
4E045D1B2682763ADAE386CD1E9285A1AC8DE08E	els	1995	Frech	Influence of Protein Conformation on Disulfide Bond Formation in the Oxidative Folding of Ribonuclease T1	corpusName:elsevier AND publicationDate:[1990 TO 1999] AND qualityIndicators.pdfVersion:1.0
311CFC2D46056338E91081BD67C3F3F1E79C2D0B	els	1998	Tyson	Transport and recirculation of aerosols off Southern Africa—macroscale plume structure	corpusName:elsevier AND publicationDate:[1990 TO 1999] AND qualityIndicators.pdfVersion:1.2
26E205A3E4BEFB340243A15C574E6B6911498F45	els	1998	Horstmann	Atmospheric deposition of semivolatile organic compounds to two forest canopies	corpusName:elsevier AND publicationDate:[1990 TO 1999] AND qualityIndicators.pdfVersion:1.2
342A7E9F3B02DF65A357C0F998F3032BE35BA405	els	1999	Jr.	Des-Arg9-bradykinin metabolism in patients who presented hypersensitivity reactions during hemodialysis: role of serum ACE and aminopeptidase P	corpusName:elsevier AND publicationDate:[1990 TO 1999] AND qualityIndicators.pdfVersion:1.2
18661FD8BC2820CA44351E793095BC53AF7AF06C	els	1998	Langmann	Radiative forcing of climate by sulfate aerosols as determined by a regional circulation chemistry transport model	corpusName:elsevier AND publicationDate:[1990 TO 1999] AND qualityIndicators.pdfVersion:1.2
01AC73CA6B8CD57CED1278E03FE842C593147DA3	els	1995	Wang	Changed central and peripheral catecholamines and indoleamines in one-way crossed-intestine rats: Relationship to changes in feeding behavior and metabolism	corpusName:elsevier AND publicationDate:[1990 TO 1999] AND qualityIndicators.pdfVersion:1.2
F4C1BF6C692489D7814D158BDC6D4BABE0346265	els	1999	Vozzi	Chamber-related Differences in Connexin Expression in the Human Heart	corpusName:elsevier AND publicationDate:[1990 TO 1999] AND qualityIndicators.pdfVersion:1.2
07132FA12D51E9628939BD349616D344041CD2BB	els	1999	Schreieck	Endogenous Adenosine Reduces the Occurrence of Ischemia-induced Ventricular Fibrillation in Rat Heart	corpusName:elsevier AND publicationDate:[1990 TO 1999] AND qualityIndicators.pdfVersion:1.2
8424E64A1E0E8E0B4EDB074168135DBC0BFE3360	els	1999	Brooks	Differences between mouse and rat myocardial contractile responsiveness to calcium	corpusName:elsevier AND publicationDate:[1990 TO 1999] AND qualityIndicators.pdfVersion:1.2
164D8FDE9AC7461B3EA3FF89491AD144B34424FC	els	1994	Goodale	Differences in the visual control of pantomimed and natural grasping movements	corpusName:elsevier AND publicationDate:[1990 TO 1999] AND qualityIndicators.pdfVersion:1.2
177041BABFFA88CBA8A4D61E451AF70B28201761	els	1998	Aybay	Comparison of the effects of Salmonella minnesota Re595 lipopolysaccharide, lipid A and monophosphoryl lipid A on nitric oxide, TNF-α, and IL-6 induction from RAW 264.7 macrophages	corpusName:elsevier AND publicationDate:[1990 TO 1999] AND qualityIndicators.pdfVersion:1.2
0FD1951FB6FC1030EBF0F1E069A6579D4F4B15FE	els	1998	Knoth	An explicit–implicit numerical approach for atmospheric chemistry–transport modeling	corpusName:elsevier AND publicationDate:[1990 TO 1999] AND qualityIndicators.pdfVersion:1.2
52C1A267D85D7B2F4E4806CAA48A42C0C9C269DC	els	1999	MD	Angiomatoid “malignant” fibrous histiocytoma: A clinicopathologic study of 158 cases and further exploration of the myoid phenotype	corpusName:elsevier AND publicationDate:[1990 TO 1999] AND qualityIndicators.pdfVersion:1.3
E836A114332FF0C3D9B0D7F3C8063095E1CBE819	els	1992	Braley	Passive greenhouse heating, recirculation, and nutrient addition for nursery phase Tridacna gigas: growth boost during winter months	corpusName:elsevier AND publicationDate:[1990 TO 1999] AND qualityIndicators.pdfVersion:1.3
7936EFC15BCB1CC8DAAA174508E8CDF781C44DE4	els	1992	MS	Efficacy of a fat-supplemented diet on muscle glycogen concentrations in exercising thoroughbred horses maintained in varying body conditions	corpusName:elsevier AND publicationDate:[1990 TO 1999] AND qualityIndicators.pdfVersion:1.3
1734690F9A9F6B7FC7D307531FD0000570ABCBA9	els	1999	MD	The Mi15 monoclonal antibody (anti-syndecan-1) is a reliable marker for quantifying plasma cells in paraffin-embedded bone marrow biopsy specimens	corpusName:elsevier AND publicationDate:[1990 TO 1999] AND qualityIndicators.pdfVersion:1.3
B0A3593EDDF7EE32E7B75E0B25F4302641C1F1CF	els	1997	Heuwieser	Evaluation of Different Protocols for Prostaglandin Synchronization to Improve Reproductive Performance in Dairy Herds with Low Estrus Detection Efficiency1	corpusName:elsevier AND publicationDate:[1990 TO 1999] AND qualityIndicators.pdfVersion:1.4
7594EA96EAE80B85BD639DF05641FA4167B7E866	els	1997	Holter	Predicting Ad Libitum Dry Matter Intake and Yield of Holstein Cows1	corpusName:elsevier AND publicationDate:[1990 TO 1999] AND qualityIndicators.pdfVersion:1.4
0DA6FE33BD16888C7DB0854E9293B32C3D90230E	els	1997	Wall	Transgenic Dairy Cattle: Genetic Engineering on a Large Scale	corpusName:elsevier AND publicationDate:[1990 TO 1999] AND qualityIndicators.pdfVersion:1.4
FC73DA3A3008D1A048BFF0921F3559B489309170	els	1992	Hmama	Binding of a membrane proteoglycan from Klebsiella pneumoniae and its derivatives to human leukocytes	corpusName:elsevier AND publicationDate:[1990 TO 1999] AND qualityIndicators.pdfVersion:1.7
C0E66F6FE49818D7737185975366AC6E87571BE7	els	1999	MD	Determination of refractory periods and conduction velocity during atrial fibrillation using atrial capture in dogs	corpusName:elsevier AND publicationDate:[1990 TO 1999] AND qualityIndicators.pdfVersion:1.7
924C95AEDFAFCD2436B47D24372562B2CD19AB73	els	2001	Bruck	Halofuginone to prevent and treat thioacetamide-induced liver fibrosis in rats	corpusName:elsevier AND publicationDate:[2000 TO *] AND qualityIndicators.pdfVersion:1.1
C98ECB5C28B9070CA8FEB3624EA9CAF621E17FE8	els	2001	Landry	Seasonal patterns of mesozooplankton abundance and biomass at Station ALOHA	corpusName:elsevier AND publicationDate:[2000 TO *] AND qualityIndicators.pdfVersion:1.2
69AD366DD82264D48DC671C234AA7089D1609E88	els	2000	Schlitz	Structure and transport of alongshelf currents across the southern flank of Georges Bank during late summer, 1982	corpusName:elsevier AND publicationDate:[2000 TO *] AND qualityIndicators.pdfVersion:1.2
DB27D752AF5728020FD9726E8845439FC88A291B	els	2001	Pärt	The effects of territory quality on age-dependent reproductive performance in the northern wheatear, Oenanthe oenanthe	corpusName:elsevier AND publicationDate:[2000 TO *] AND qualityIndicators.pdfVersion:1.4
F30E3FEE570B7C90A4300C8FD2615746E4786A8E	els	2001	Swaisgood	A quantitative assessment of the efficacy of an environmental enrichment programme for giant pandas	corpusName:elsevier AND publicationDate:[2000 TO *] AND qualityIndicators.pdfVersion:1.4
DF43E1311B8EBB186210C1DD9136CA8C17108284	els	2001	Gonzlez	La mortalidad entre los recin nacidos de la Comunidad Balear al final del siglo XX	corpusName:elsevier AND publicationDate:[2000 TO *] AND qualityIndicators.pdfVersion:1.7
2F6229B8834455B89183CC4D73BDF1348B84AA81	nat	1910	UNKNOWN	Notes	corpusName:nature AND publicationDate:[* TO 1959] AND qualityIndicators.pdfVersion:1.1
4AAB83D592AC9D6A89144B86099772697578BD2D	nat	1927	UNKNOWN	The Problem of Secretion	corpusName:nature AND publicationDate:[* TO 1959] AND qualityIndicators.pdfVersion:1.2
1A7CD17EDAEB188418F177DD01665B4F22C06727	nat	1937	Compton	The Electron: Its Intellectual And Social Significance	corpusName:nature AND publicationDate:[* TO 1959] AND qualityIndicators.pdfVersion:1.3
43877D00BE02A6E5AEF8DE8ABC0DBF065324FCFE	nat	1871	CARPENTER	Report on Deep-Sea Researches	corpusName:nature AND publicationDate:[* TO 1959] AND qualityIndicators.pdfVersion:1.4
332FD1823B5E11A522CFC061059431034FD3550B	nat	1873	RODWELL	The Birth of Chemistry	corpusName:nature AND publicationDate:[* TO 1959] AND qualityIndicators.pdfVersion:1.4
2A3C3AAEA176F52E13528E9F2BCDD46A3A9DF43F	nat	1898	UNKNOWN	The British Association	corpusName:nature AND publicationDate:[* TO 1959] AND qualityIndicators.pdfVersion:1.4
AEDEFFE1FE8B0B953113235EDD0E2FD10E19EFBF	nat	1975	Gribbin	Open for business	corpusName:nature AND publicationDate:[1960 TO 1979] AND qualityIndicators.pdfVersion:1.3
D954F52AFB372ED37395B303E934807E0FC8C8A9	nat	1986	Harrison	Kelvin on an old, celebrated hypothesis	corpusName:nature AND publicationDate:[1980 TO 1989] AND qualityIndicators.pdfVersion:1.3
77C4E26AE4103B0EB0EDCBD5A29AC63F49FB44BF	nat	1980	UNKNOWN	Research centres, libraries, journals flourish in new China	corpusName:nature AND publicationDate:[1980 TO 1989] AND qualityIndicators.pdfVersion:1.5
DE03FF7FABA6B96C6F00A34746407DD8DF6905A3	nat	1998	Macilwain	Fusion machines breach treaty and open weapons risk	corpusName:nature AND publicationDate:[1990 TO 1999] AND qualityIndicators.pdfVersion:1.4
502E9135AB4B7E500F673040C8269427102A3215	nat	1999	Steinhardt	Correction: Experimental verification of the quasi-unit-cell model of quasicrystal structure	corpusName:nature AND publicationDate:[1990 TO 1999] AND qualityIndicators.pdfVersion:1.5
913A3A8813C6CCFDED00A716B51BE64615DB24C2	nat	2000	Liu	DNA computing on surfaces	corpusName:nature AND publicationDate:[2000 TO *] AND qualityIndicators.pdfVersion:1.2
